lon	lat	depth
-124.616472	42.141705	-18.133862
-124.610428	42.141724	-18.167637
-124.604385	42.141743	-18.206890
-124.598341	42.141761	-18.246147
-124.592297	42.141779	-18.276892
-124.586254	42.141797	-18.300493
-124.580210	42.141815	-18.341020
-124.574166	42.141832	-18.380182
-124.568123	42.141849	-18.415522
-124.562079	42.141865	-18.450863
-124.556035	42.141882	-18.506437
-124.549992	42.141898	-18.574135
-124.543948	42.141913	-18.642020
-124.537904	42.141929	-18.709908
-124.531861	42.141944	-18.806809
-124.525817	42.141958	-18.912949
-124.519773	42.141973	-19.019100
-124.513729	42.141987	-19.143862
-124.507686	42.142001	-19.283129
-124.501642	42.142014	-19.422412
-124.495598	42.142027	-19.568210
-124.489554	42.142040	-19.748622
-124.483511	42.142052	-19.884830
-124.477467	42.142064	-20.021053
-124.471423	42.142076	-20.183552
-124.465379	42.142088	-20.349444
-124.459336	42.142099	-20.473891
-124.453292	42.142110	-20.608168
-124.447248	42.142120	-20.748597
-124.441204	42.142131	-20.889068
-124.435160	42.142141	-21.005200
-124.429117	42.142150	-21.125564
-124.423073	42.142159	-21.245959
-124.417029	42.142168	-21.366307
-124.410985	42.142177	-21.470452
-124.404941	42.142185	-21.574617
-124.398898	42.142193	-21.678805
-124.392854	42.142201	-21.782366
-124.386810	42.142208	-21.880225
-124.380766	42.142215	-21.978119
-124.374722	42.142222	-22.075607
-124.368678	42.142229	-22.172756
-124.362635	42.142235	-22.273830
-124.652763	42.146078	-17.805408
-124.646719	42.146099	-17.871170
-124.640675	42.146119	-17.936943
-124.634631	42.146140	-18.000744
-124.628587	42.146160	-18.051623
-124.622543	42.146180	-18.102507
-124.616499	42.146199	-18.153397
-124.610455	42.146218	-18.186661
-124.604411	42.146237	-18.224770
-124.598367	42.146256	-18.262884
-124.592323	42.146274	-18.292382
-124.586279	42.146292	-18.314646
-124.580235	42.146309	-18.355209
-124.574190	42.146327	-18.394363
-124.568146	42.146343	-18.429575
-124.562102	42.146360	-18.464788
-124.556058	42.146376	-18.521476
-124.550014	42.146392	-18.590202
-124.543970	42.146408	-18.659113
-124.537926	42.146423	-18.728027
-124.531881	42.146438	-18.826907
-124.525837	42.146453	-18.935025
-124.519793	42.146467	-19.043153
-124.513749	42.146481	-19.169912
-124.507705	42.146495	-19.310193
-124.501661	42.146509	-19.450490
-124.495616	42.146522	-19.597312
-124.489572	42.146534	-19.778790
-124.483528	42.146547	-19.914894
-124.477484	42.146559	-20.051013
-124.471439	42.146571	-20.213423
-124.465395	42.146582	-20.379229
-124.459351	42.146594	-20.502526
-124.453307	42.146604	-20.635623
-124.447263	42.146615	-20.774854
